Brand,Car,Trim,MSRP,36 months,48 months,60 months,City,Highway,Price/L,Category,Size,Fuel Type,Drivetrain,Adaptive Cruise,Lane-keep Assist,Apple Carplay/Android Auto,Heated Seats,Heated Steering Wheel,Cooled Seats
Toyota,RAV4,LE FWD,"$28,850","$1,037.54",$800.04,$654.96,8.5,6.8,$1.40,Crossover,Compact,Gasoline,FWD,Yes,Yes,Yes,Yes,No,No
Toyota,RAV4,LE AWD,"$30,950","$1,108.12",$854.47,$699.51,8.7,6.9,$1.40,Crossover,Compact,Gasoline,AWD,Yes,Yes,Yes,Yes,No,No
Toyota,RAV4,LE AWD Hyrbid,"$33,190","$1,183.41",$912.52,$747.03,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,No,No
Toyota,RAV4,XLE AWD ,"$34,550","$1,229.11",$947.76,$775.89,8.8,7.1,$1.40,Crossover,Compact,Gasoline,AWD ,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,XLE AWD Hybrid,"$36,190","$1,284.23",$990.27,$810.68,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,SE AWD Hybrid,"$37,990","$1,344.73","$1,036.91",$848.87,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,Trail AWD,"$38,350","$1,356.83","$1,046.24",$856.51,9.5,7.1,$1.40,Crossover,Compact,Gasoline,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,XSE AWD Hybrid,"$40,650","$1,434.13","$1,105.85",$905.31,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,XSE AWD Hybrid Tech Package,"$44,850","$1,575.29","$1,214.70",$994.41,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,Limited AWD,"$42,850","$1,508.07","$1,162.87",$951.98,9.5,7.1,$1.40,Crossover,Compact,Gasoline,AWD,Yes,Yes,Yes,Yes,Yes,Yes
Toyota,RAV4,Limited AWD Hybrid,"$44,490","$1,563.19","$1,205.37",$986.77,5.8,6.3,$1.40,Crossover,Compact,Hybrid,AWD,Yes,Yes,Yes,Yes,Yes,Yes
Toyota ,RAV4,PRIME SE,"$44,990","$1,431.28","$1,103.65",$903.51,5.7,6.0,$1.40,Crossover,Compact,PHEV,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota,RAV4,PRIME XSE,"$51,590","$1,653.10","$1,274.70","$1,043.53",5.7,6.0,$1.40,Crossover,Compact,PHEV,AWD,Yes,Yes,Yes,Yes,Yes,No
Toyota ,RAV4,PRIME XSE Tech,"$56,990","$1,834.59","$1,414.64","$1,158.10",5.7,6.0,$1.40,Crossover,Compact,PHEV,AWD,Yes,Yes,Yes,Yes,Yes,Yes
Honda,Civic,LX,"$24,465",$858.37,$658.45,$541.29,7.7,6.0,$1.40,Sedan,Compact,Gasoline,FWD,Yes,Yes,Yes,Yes,No,No
